iter	Passed	Remaining
1236	25693	15848
1237	25712	15826
1238	25731	15804
1239	25749	15782
1240	25769	15760
1241	25789	15739
1242	25808	15717
1243	25827	15695
1244	25846	15673
1245	25872	15656
1246	25895	15637
1247	25915	15616
1248	25935	15594
1249	25955	15573
1250	25975	15551
1251	25993	15529
1252	26012	15507
1253	26031	15486
1254	26051	15464
1255	26072	15444
1256	26091	15422
1257	26111	15400
1258	26130	15379
1259	26151	15358
1260	26173	15339
1261	26193	15317
1262	26213	15296
1263	26233	15275
1264	26252	15253
1265	26272	15232
1266	26291	15210
1267	26311	15189
1268	26330	15167
1269	26350	15146
1270	26371	15125
1271	26391	15104
1272	26410	15082
1273	26434	15064
1274	26457	15044
1275	26477	15023
1276	26497	15002
1277	26517	14980
1278	26539	14960
1279	26559	14939
1280	26578	14918
1281	26598	14897
1282	26617	14875
1283	26638	14854
1284	26658	14833
1285	26678	14812
1286	26698	14790
1287	26717	14769
1288	26739	14749
1289	26760	14728
1290	26780	14707
1291	26798	14685
1292	26818	14664
1293	26837	14642
1294	26856	14620
1295	26877	14599
1296	26897	14578
1297	26917	14557
1298	26936	14536
1299	26954	14514
1300	26973	14492
1301	26995	14472
1302	27020	14453
1303	27043	14434
1304	27063	14412
1305	27082	14391
1306	27101	14369
1307	27120	14347
1308	27138	14325
1309	27157	14304
1310	27175	14282
1311	27195	14261
1312	27215	14239
1313	27234	14218
1314	27253	14196
1315	27276	14176
1316	27296	14156
1317	27314	14133
1318	27334	14112
1319	27352	14090
1320	27371	14069
1321	27390	14047
1322	27409	14025
1323	27428	14004
1324	27447	13982
1325	27467	13961
1326	27486	13939
1327	27505	13918
1328	27525	13897
1329	27546	13876
1330	27568	13856
1331	27587	13834
1332	27606	13813
1333	27627	13793
1334	27646	13771
1335	27665	13749
1336	27685	13728
1337	27705	13707
1338	27723	13685
1339	27742	13664
1340	27764	13643
1341	27783	13622
1342	27802	13601
1343	27832	13585
1344	27855	13565
1345	27875	13544
1346	27895	13523
1347	27916	13502
1348	27935	13481
1349	27954	13459
1350	27974	13438
1351	27993	13417
1352	28013	13396
1353	28034	13375
1354	28053	13354
1355	28074	13333
1356	28093	13312
1357	28126	13296
1358	28149	13277
1359	28170	13256
1360	28188	13234
1361	28208	13213
1362	28229	13193
1363	28249	13171
1364	28269	13150
1365	28289	13130
1366	28310	13109
1367	28330	13088
1368	28349	13067
1369	28370	13046
1370	28389	13024
1371	28441	13018
1372	28464	12998
1373	28484	12977
1374	28504	12956
1375	28526	12936
1376	28545	12914
1377	28565	12893
1378	28585	12872
1379	28604	12851
1380	28624	12830
1381	28644	12808
1382	28663	12787
1383	28683	12766
1384	28702	12745
1385	28723	12724
1386	28744	12704
1387	28764	12682
1388	28784	12661
1389	28803	12640
1390	28822	12618
1391	28841	12597
1392	28862	12576
1393	28884	12556
1394	28904	12535
1395	28922	12513
1396	28941	12492
1397	28960	12470
1398	28980	12449
1399	29002	12429
1400	29025	12409
1401	29044	12388
1402	29066	12368
1403	29087	12347
1404	29107	12326
1405	29126	12305
1406	29146	12284
1407	29165	12262
1408	29185	12241
1409	29204	12220
1410	29224	12199
1411	29243	12177
1412	29263	12156
1413	29288	12137
1414	29309	12117
1415	29328	12095
1416	29347	12074
1417	29367	12053
1418	29385	12031
1419	29404	12010
1420	29423	11989
1421	29442	11967
1422	29461	11946
1423	29480	11924
1424	29499	11903
1425	29520	11882
1426	29540	11861
1427	29566	11843
1428	29588	11823
1429	29607	11801
1430	29626	11780
1431	29644	11758
1432	29663	11737
1433	29682	11715
1434	29703	11694
1435	29723	11674
1436	29743	11653
1437	29763	11632
1438	29785	11611
1439	29805	11590
1440	29826	11570
1441	29851	11551
1442	29874	11531
1443	29893	11510
1444	29912	11488
1445	29946	11473
1446	29967	11452
1447	29987	11431
1448	30007	11410
1449	30026	11389
1450	30045	11367
1451	30064	11346
1452	30084	11325
1453	30104	11304
1454	30124	11283
1455	30151	11265
1456	30173	11245
1457	30192	11223
1458	30211	11202
1459	30231	11181
1460	30252	11160
1461	30271	11139
1462	30291	11118
1463	30310	11097
1464	30329	11075
1465	30349	11054
1466	30368	11033
1467	30389	11013
1468	30409	10992
1469	30444	10976
1470	30467	10956
1471	30487	10935
1472	30507	10914
1473	30528	10894
1474	30548	10873
1475	30568	10852
1476	30588	10831
1477	30608	10810
1478	30627	10789
1479	30647	10768
1480	30668	10747
1481	30688	10726
1482	30708	10705
1483	30729	10684
1484	30751	10664
1485	30772	10644
1486	30791	10622
1487	30810	10601
1488	30830	10580
1489	30850	10559
1490	30870	10538
1491	30889	10517
1492	30910	10496
1493	30931	10476
1494	30951	10455
1495	30970	10434
1496	30991	10413
1497	31020	10395
1498	31042	10375
1499	31062	10354
1500	31081	10332
1501	31102	10312
1502	31124	10292
1503	31145	10271
1504	31165	10250
1505	31184	10229
1506	31203	10207
1507	31222	10186
1508	31243	10166
1509	31263	10145
1510	31283	10124
1511	31314	10106
1512	31336	10086
1513	31356	10065
1514	31377	10045
1515	31399	10024
1516	31419	10003
1517	31438	9982
1518	31459	9961
1519	31480	9941
1520	31500	9920
1521	31520	9899
1522	31541	9878
1523	31562	9858
1524	31582	9837
1525	31613	9819
1526	31634	9799
1527	31654	9778
1528	31677	9758
1529	31697	9737
1530	31717	9716
1531	31736	9695
1532	31757	9674
1533	31777	9653
1534	31798	9632
1535	31816	9611
1536	31835	9589
1537	31854	9568
1538	31874	9547
1539	31895	9527
1540	31919	9507
1541	31950	9489
1542	31975	9470
1543	31998	9450
1544	32017	9429
1545	32036	9407
1546	32055	9386
1547	32075	9365
1548	32094	9344
1549	32113	9323
1550	32133	9302
1551	32152	9281
1552	32172	9260
1553	32191	9238
1554	32213	9218
1555	32232	9197
1556	32251	9176
1557	32271	9155
1558	32291	9134
1559	32309	9112
1560	32329	9091
1561	32349	9071
1562	32369	9050
1563	32388	9029
1564	32408	9008
1565	32427	8986
1566	32445	8965
1567	32479	8948
1568	32502	8928
1569	32522	8907
1570	32542	8886
1571	32560	8865
1572	32580	8844
1573	32600	8823
1574	32621	8802
1575	32639	8781
1576	32658	8760
1577	32677	8738
1578	32696	8717
1579	32715	8696
1580	32734	8675
1581	32768	8658
